Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2007-01-03,12.327143,12.368571,11.7,11.971429,309579900,7.982585
2007-01-04,12.007143,12.278571,11.974286,12.237143,211815100,8.159763
2007-01-05,12.252857,12.314285,12.057143,12.15,208685400,8.101658
2007-01-08,12.28,12.361428,12.182858,12.21,199276700,8.141665
2007-01-09,12.35,13.282857,12.164286,13.224286,837324600,8.817995
2007-01-10,13.535714,13.971429,13.35,13.857142,738220000,9.239983
2007-01-11,13.705714,13.825714,13.585714,13.685715,360063200,9.125674
2007-01-12,13.512857,13.58,13.318571,13.517143,328172600,9.013269
2007-01-16,13.668571,13.892858,13.635715,13.871428,311019100,9.249508
2007-01-17,13.937143,13.942857,13.545714,13.564285,411565000,9.044706
2007-01-18,13.157143,13.158571,12.721429,12.724286,591151400,8.484592
2007-01-19,12.661428,12.807143,12.588572,12.642858,341118400,8.430295
2007-01-22,12.734285,12.737143,12.235714,12.398571,363506500,8.267404
2007-01-23,12.247143,12.501429,12.215714,12.242857,301856100,8.163574
2007-01-24,12.382857,12.45,12.297143,12.385715,231953400,8.258834
2007-01-25,12.444285,12.642858,12.29,12.321428,226493400,8.215967
2007-01-26,12.444285,12.481428,12.141429,12.197143,246718500,8.133093
2007-01-29,12.328571,12.378572,12.218572,12.277143,225416100,8.186437
2007-01-30,12.347143,12.355714,12.178572,12.221429,144492600,8.149286
2007-01-31,12.122857,12.285714,12.05,12.247143,214017300,8.16643
2007-02-01,12.318571,12.324286,12.105714,12.105714,166085500,8.072126
2007-02-02,12.017143,12.178572,11.957143,12.107142,155382500,8.073079
2007-02-05,12.042857,12.175714,11.991428,11.991428,144713100,7.995921
2007-02-06,12.064285,12.067142,11.837143,12.021428,216098400,8.015925
2007-02-07,12.068571,12.34,11.935715,12.307143,266706300,8.206441
2007-02-08,12.204286,12.358571,12.201428,12.311429,169757700,8.209295
2007-02-09,12.268572,12.314285,11.887143,11.895715,215135200,7.932097
2007-02-12,12.061429,12.168571,11.947143,12.125714,181017900,8.085462
2007-02-13,12.165714,12.184286,12.042857,12.1,145246500,8.068316
2007-02-14,12.09,12.234285,12.081429,12.185715,126995400,8.125469
2007-02-15,12.205714,12.231428,12.111428,12.172857,90915300,8.116899
2007-02-16,12.178572,12.201428,12.094286,12.118571,99967000,8.0807
2007-02-20,12.092857,12.308572,12.022857,12.271428,154425600,8.182625
2007-02-21,12.282857,12.784286,12.28,12.742857,288828400,8.496976
2007-02-22,12.971429,12.972857,12.647142,12.787143,209556200,8.526506
2007-02-23,12.737143,12.905714,12.692857,12.724286,129473400,8.484592
2007-02-26,12.834286,12.857142,12.515715,12.644286,153962200,8.431249
2007-02-27,12.328571,12.44,11.915714,11.99,286453300,7.994967
2007-02-28,11.857142,12.228572,11.857142,12.087143,229868800,8.059742
2007-03-01,12.004286,12.615714,11.964286,12.437143,353882200,8.293126
2007-03-02,12.395715,12.505714,12.172857,12.201428,215000100,8.135951
2007-03-05,12.27,12.664286,12.251429,12.331429,209724900,8.222633
2007-03-06,12.542857,12.615714,12.485714,12.598572,180796700,8.400765
2007-03-07,12.578571,12.71,12.492857,12.531428,156571100,8.355994
2007-03-08,12.655714,12.674286,12.494286,12.571428,127752800,8.382667
2007-03-09,12.685715,12.692857,12.485714,12.567142,112959000,8.37981
2007-03-12,12.581429,12.855714,12.57,12.838572,182352100,8.560799
2007-03-13,12.772857,12.942857,12.628572,12.628572,216972700,8.420769
2007-03-14,12.657143,12.857142,12.56,12.857142,199146500,8.57318
2007-03-15,12.851429,12.908571,12.758572,12.795714,139874700,8.532222
2007-03-16,12.791429,12.855714,12.76,12.798572,142926000,8.534126
2007-03-19,12.891429,13.078571,12.798572,13.018572,178240300,8.680823
2007-03-20,13.05,13.12,13.008572,13.068571,122229100,8.714162
2007-03-21,13.141429,13.428572,13.092857,13.41,171724000,8.941829
2007-03-22,13.39,13.48,13.285714,13.422857,140373100,8.950401
2007-03-23,13.335714,13.438571,13.328571,13.36,112721000,8.908489
2007-03-26,13.427143,13.7,13.328571,13.692857,216246800,9.130437
2007-03-27,13.672857,13.832857,13.571428,13.637143,233013200,9.093288
2007-03-28,13.554286,13.628572,13.307143,13.32,235584300,8.881817
2007-03-29,13.455714,13.455714,13.175714,13.392858,181430900,8.930396
2007-03-30,13.468572,13.525714,13.25,13.272857,150139500,8.850382
2007-04-02,13.448571,13.464286,13.288571,13.378572,125498100,8.920873
2007-04-03,13.448571,13.604285,13.394286,13.5,145983600,9.00184
2007-04-04,13.562857,13.591429,13.447143,13.467143,119196000,8.979932
2007-04-05,13.445714,13.525714,13.36,13.525714,88879000,9.018985
2007-04-09,13.601429,13.614285,13.291429,13.378572,103335400,8.920873
2007-04-10,13.381429,13.465714,13.344286,13.464286,88116700,8.978027
2007-04-11,13.414286,13.421429,13.19,13.227143,137254600,8.8199
2007-04-12,13.148571,13.187143,12.96,13.17,164168900,8.781795
2007-04-13,12.985714,13.057143,12.865714,12.891429,179985400,8.596042
2007-04-16,12.938571,13.071428,12.892858,13.061429,152258400,8.709401
2007-04-17,13.142858,13.185715,12.814285,12.907143,187980100,8.606523
2007-04-18,12.88,12.978572,12.8,12.914286,116011000,8.611282
2007-04-19,12.884286,13.035714,12.832857,12.895715,106478400,8.5989
2007-04-20,12.984285,13.025714,12.935715,12.995714,130694900,8.665582
2007-04-23,13.084286,13.4,13.06,13.358571,195072500,8.907536
2007-04-24,13.422857,13.77,13.042857,13.32,263813200,8.881817
